,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description,Seconds_disconnected,Days_disconnected
6,334,88.20.15.150,3352,88.20.0.0/16,-,-,-,es,Connected,Yes,37.9895,-1.1315,Broadband home connection,0,0
7,341,213.0.69.132,3352,213.0.0.0/16,2001:470:1f1d:275:220:4aff:fec8:2405,6939,2001:470::/32,es,Connected,Yes,40.5975,-3.9805,Oficina,0,0
12,417,217.18.40.10,15954,217.18.32.0/20,2a01:a940:7766:1:220:4aff:fec8:25c8,15954,2a01:a940::/32,es,Connected,Yes,40.4505,-3.5725,Tecnocratica MAD1 (Ex Colgajit,0,0
16,632,-,-,-,2001:470:1f09:495:220:4aff:febf:ffaf,6939,2001:470::/32,es,Connected,Yes,40.5985,-3.9815,Casa,0,0
27,1531,84.232.107.214,29119,84.232.106.0/23,fdbb:7440:7714:0:220:4aff:fec8:24ac,-,-,es,Connected,Yes,37.9675,-1.2215,n0p's home,0,0
29,2023,88.3.120.87,3352,88.3.0.0/16,2a02:9140:5280:0:220:4aff:fee0:220a,3352,2a02:9000::/23,es,Connected,Yes,40.3985,-3.7215,AS3352 Probe v2,0,0
38,2604,37.46.88.25,57929,37.46.88.0/21,-,-,-,es,Connected,Yes,40.4495,-3.5725,Octanio AS,0,0
40,2740,78.30.25.41,15704,78.30.24.0/21,fd93:2b5f:1ca6:4b07:220:4aff:fee0:2308,-,-,es,Connected,Yes,36.5975,-4.5205,kerkhoff_HOME,0,0
45,3712,79.148.251.62,3352,79.148.0.0/16,-,-,-,es,Connected,Yes,40.4485,-3.7925,-,0,0
47,3726,83.48.64.37,3352,83.48.0.0/16,-,-,-,es,Connected,Yes,40.4305,-3.7115,JPC - CNC Madrid,0,0
52,3785,80.39.167.223,3352,80.39.0.0/16,2001:470:7f1d:1:220:4aff:fee0:2832,6939,2001:470::/32,es,Connected,Yes,40.4495,-3.6485,Madrid,0,0
53,4048,150.241.254.254,766,150.241.128.0/17,-,-,-,es,Connected,Yes,43.3115,-2.0105,-,0,0
54,4053,158.227.98.1,15488,158.227.0.0/16,-,-,-,es,Connected,Yes,43.2585,-2.9505,-,0,0
56,4143,88.14.200.138,3352,88.14.0.0/16,2a02:9140:6b80:100:280:a3ff:fe91:3a5a,3352,2a02:9000::/23,es,Disconnected,Yes,43.2685,-2.9505,-,181,0
57,4640,194.5.29.226,48146,194.5.29.0/24,-,-,-,es,Connected,Yes,38.0575,-0.8705,ROBSPROBE,0,0
62,5010,88.17.246.234,3352,88.17.0.0/16,-,-,-,es,Disconnected,Yes,37.9875,-1.1325,Julio's Probe,-3,-1
66,6352,84.88.18.254,13041,84.88.0.0/16,2001:40b0:2::2,13041,2001:40b0::/32,es,Connected,Yes,41.3885,2.1095,CSUC - Consorci de Serveis Uni,0,0
