,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description,lastWeekOn,lastMonthOn,allTimeOn,Seconds_disconnected,Days_disconnected
7,334,88.20.5.109,3352,88.20.0.0/16,-,-,-,es,Connected,Yes,37.9895,-1.1315,Broadband home connection,0.9962000000000001,0.9944,0.6464,0,0
8,341,213.0.69.132,3352,213.0.0.0/16,2001:470:1f1d:275:220:4aff:fec8:2405,6939,2001:470::/32,es,Connected,Yes,40.5975,-3.9805,Oficina,0.9993000000000001,0.9984000000000001,0.9754999999999999,0,0
13,417,217.18.40.10,15954,217.18.32.0/20,2a01:a940:7766:1:220:4aff:fec8:25c8,15954,2a01:a940::/32,es,Connected,Yes,40.4905,-3.6925,Tecnocratica MAD1 (Ex Colgajit,0.9991,0.9991,0.607,0,0
17,632,-,-,-,2001:470:1f09:495:220:4aff:febf:ffaf,6939,2001:470::/32,es,Disconnected,Yes,40.5985,-3.9815,Casa,0.0,0.0,0.9540000000000001,11766066,136
28,1531,185.44.28.215,29119,185.44.28.0/22,fdbb:7440:7714:0:220:4aff:fec8:24ac,-,-,es,Connected,Yes,37.9675,-1.2215,n0p's home,1.0,0.9892,0.9716,0,0
29,2001,87.220.48.127,12479,87.220.48.0/22,-,-,-,es,Disconnected,Yes,43.3175,-1.9825,Jazztel IPv4 only,0.0,0.0,0.6689,9050265,104
30,2023,88.3.148.68,3352,88.3.0.0/16,2a02:9140:5281:2800:220:4aff:fee0:220a,3352,2a02:9000::/23,es,Disconnected,Yes,40.3985,-3.7215,AS3352 Probe v2,0.0,0.0,0.9637,4117933,47
39,2604,37.46.88.25,57929,37.46.88.0/21,-,-,-,es,Connected,Yes,40.4495,-3.5725,Octanio AS,0.9981,0.9993000000000001,0.9804,0,0
41,2740,79.116.15.40,57269,79.116.0.0/15,2a0c:5a85:a301:4400:220:4aff:fee0:2308,57269,2a0c:5a80::/29,es,Connected,Yes,37.3175,-5.9405,kerkhoff_HOME,0.9995999999999999,0.9987999999999999,0.3432,0,0
46,3712,79.148.251.62,3352,79.148.0.0/16,-,-,-,es,Connected,Yes,40.4485,-3.7925,-,1.0,0.9998999999999999,0.9113,0,0
48,3726,83.48.64.37,3352,83.48.0.0/16,-,-,-,es,Connected,Yes,40.4305,-3.7115,JPC - CNC Madrid,1.0,1.0,0.8584,0,0
53,3785,80.39.56.70,3352,80.39.0.0/16,2001:470:7f1d:cafe:220:4aff:fee0:2832,6939,2001:470::/32,es,Connected,Yes,40.4495,-3.6485,Madrid,0.9967,0.9987999999999999,0.767,0,0
54,4048,150.241.254.254,766,150.241.128.0/17,-,-,-,es,Connected,Yes,43.3115,-2.0105,-,0.9983,0.48700000000000004,0.9577,0,0
55,4053,158.227.98.1,15488,158.227.0.0/16,-,-,-,es,Connected,Yes,43.2585,-2.9505,-,1.0,0.9992,0.8234,0,0
57,4143,88.13.67.12,3352,88.13.0.0/16,2a02:9140:6b80:3500:280:a3ff:fe91:3a5a,3352,2a02:9000::/23,es,Connected,Yes,43.2685,-2.9505,-,0.44079999999999997,0.4407,0.6069,0,0
58,4640,85.217.139.195,200845,85.217.138.0/23,-,-,-,es,Connected,Yes,38.0575,-0.8705,ROBSPROBE,1.0,0.9998999999999999,0.9912000000000001,0,0
63,5010,88.20.32.113,3352,88.20.0.0/16,-,-,-,es,Connected,Yes,37.9875,-1.1325,Julio's Probe,0.9769,0.9862000000000001,0.7081999999999999,0,0
67,6352,84.88.18.254,13041,84.88.0.0/16,2001:40b0:2::2,13041,2001:40b0::/32,es,Connected,Yes,41.3885,2.1095,CSUC - Consorci de Serveis Uni,1.0,1.0,0.9995,0,0
68,6604,31.47.76.181,15954,31.47.72.0/21,2a01:a940:445:d::1,15954,2a01:a940::/32,es,Connected,Yes,40.4895,-3.6925,"TecnocrÃ¡tica Centro de Datos,",0.9982,0.9992,0.9914000000000001,0,0
69,6668,92.38.171.55,202422,92.38.171.0/24,2a03:90c0:246::2e,199524,2a03:90c0:240::/44,es,Connected,Yes,40.5815,-3.5795,G-Core Labs S.A.,1.0,1.0,0.9995,0,0
70,6687,147.84.200.125,39069,147.84.0.0/16,-,-,-,es,Connected,Yes,37.9905,-1.1285,CARM - Comunidad AutÃ³noma de M,1.0,1.0,0.9998999999999999,0,0
73,6926,194.156.155.241,48386,194.156.155.0/24,2a0d:5642:113:201:5054:ff:fe7c:cc09,48386,2a0d:5642:113::/48,es,Connected,Yes,40.4405,-3.6215,"Misaka Network, Inc.",0.9992,0.9995999999999999,0.9779000000000001,0,0
74,6980,156.154.79.254,12008,156.154.79.0/24,2610:a1:3034:252::254,12008,2610:a1:3034::/48,es,Disconnected,Yes,40.4475,-3.5685,Neustar,0.0,0.0,0.8740000000000001,10980206,127
75,7017,82.98.154.62,42612,82.98.128.0/18,2a02:be8:3:200:216:3eff:fe7b:2391,42612,2a02:be8::/32,es,Connected,Yes,40.4405,-3.6225,Dinahosting S.L.,1.0,0.9998,0.9998,0,0
76,7086,37.46.78.66,15699,37.46.72.0/21,2a00:6640:e:101:f816:3eff:fe48:e511,15699,2a00:6640::/32,es,Connected,Yes,40.5105,-3.3385,"Adam Ecotech, S.A.",1.0,1.0,0.9998999999999999,0,0
77,7089,94.24.115.154,15699,94.24.112.0/20,2a01:1c8:e:101::a,15699,2a01:1c8::/32,es,Connected,Yes,41.4915,2.1215,"Adam Ecotech, S.A.",1.0,0.9998,0.9998999999999999,0,0
78,7289,5.180.228.37,8637,5.180.228.0/24,2a0b:c800:1:ffff::1501:2,8637,2a0b:c800:1::/48,es,Connected,Yes,40.4415,-3.6185,"SpainWISP, S.L.",1.0,1.0,1.0,0,0
83,10237,110.93.11.66,35699,110.93.8.0/22,-,-,-,es,Connected,Yes,41.3905,2.1685,Hemma BCN,1.0,0.9995999999999999,0.8941,0,0
87,10836,213.162.201.210,13287,213.162.200.0/22,2a02:23a0:1111:14::2,13287,2a02:23a0::/32,es,Connected,Yes,39.5205,-0.4715,NIXVAL IP v3 R5,1.0,0.9995999999999999,0.9984999999999999,0,0
91,11124,88.25.227.81,3352,88.25.0.0/16,-,-,-,es,Connected,Yes,28.0895,-16.6315,Elmi's home probe TF,1.0,0.8898999999999999,0.9584,0,0
93,11598,109.69.8.210,49835,109.69.8.0/24,2a00:1508::210,49835,2a00:1508::/32,es,Connected,Yes,41.3515,2.1415,guifi.net Foundation www.guifi,1.0,0.9998999999999999,0.735,0,0
