Iteration,RMSE,Denormalized_RMSE
0,0.10813697853134137,0.8352322383665113
1,0.08040498423499298,0.8570413153665123
2,0.09283562610491197,0.8873340390592367
3,0.05979533469194361,0.7375355655804089
4,0.07273411833628393,0.8832835517249743
5,0.10337122113501347,0.8221947319808919
6,0.07571655032008477,0.8305011701048127
7,0.08130417167087622,0.7967951001042499
8,0.08503777746148942,0.8537524729716675
9,0.0885993201029428,0.8408165878540527
10,0.07948585949883087,0.8625720222999734
11,0.0693529060640367,0.722592846503029
12,0.09254451513180059,0.864987624767435
13,0.06732334038874109,0.8334238103582957
14,0.08523819014229739,0.7708291666479854
15,0.07936895143626811,0.7934340467830068
16,0.07493430534804148,0.8406791589248618
17,0.07316184193462907,0.7427237399364445
18,0.09455571882797781,0.9447026380469403
19,0.06472676310325516,0.7852628320055812
