Iteration,RMSE,Denormalized_RMSE
0,0.10811762974576629,0.8350827915287594
1,0.08038788349492158,0.8568590376022173
2,0.09281686758817666,0.8871547429083959
3,0.05976935040807892,0.7372150667723483
4,0.07271981228787393,0.8831098189907393
5,0.10335059960041264,0.822030712276684
6,0.07570254601853178,0.8303475631486441
7,0.08128898331784075,0.7966462515885021
8,0.08502819150871965,0.8536562330283471
9,0.08859071020667939,0.8407348790600171
10,0.07946955230748201,0.862395058408427
11,0.06934720998998889,0.7225334987035829
12,0.09252846471352126,0.8648376060098221
13,0.06730710445693348,0.8332228189625379
14,0.08521273028883819,0.770598927155662
15,0.07935578391482287,0.7933024139513094
16,0.07493189935172245,0.8406521663351199
17,0.07313977119100695,0.7424996823565266
18,0.09454109047321334,0.9445564867035041
19,0.06470958833074474,0.7850544682646187
