Iteration,RMSE,Denormalized_RMSE
0,2.0131351705496914,15.549124984523553
1,1.7358749144505607,18.502789772887894
2,1.8001393865086601,17.20594797190505
3,1.7687975436163201,21.8169377836774
4,1.5209885852052578,18.470894133366393
5,2.1095218745993503,16.778729643027887
6,1.5848215695446592,17.383203042796943
7,1.6269731370067464,15.944621252842598
8,1.5575839131996145,15.637651376263602
9,1.5330599927314656,14.548895754124587
10,1.6964955130625294,18.410187355987524
11,1.2181496409882795,12.691987495601278
12,1.7774440303008046,16.613270789060927
13,1.568667507581679,19.41919167713509
14,1.9500719198324565,17.6349628066795
15,1.5065775274341118,15.0609260013249
16,1.1734120390157357,13.16437166462421
17,1.8659319937156165,18.942551912208838
18,1.6209916670125237,16.19526690780897
19,1.5732286977366092,19.08635567958709
