Iteration,RMSE,Denormalized_RMSE
0,0.006363297480530255,0.049149063255127544
1,0.012414221461720651,0.13232389499274158
2,0.0019691218416949606,0.018821102528208226
3,0.011760484923153777,0.14505773642683087
4,0.00656676346736407,0.07974681334519752
5,0.005849590022747979,0.04652650948826142
6,0.012102864352222402,0.1327509370626234
7,0.00782542367730494,0.0766905204760837
8,0.004644464849688986,0.046628962673062144
9,0.004894273246370715,0.046447152486694045
10,0.006689885259599,0.07259791733662976
11,0.013127712768902927,0.13677857030240204
12,0.008909237049959896,0.08327213971956655
13,0.010092965757401963,0.12494504774686568
14,0.013130308492382194,0.11874049338820394
15,0.007986111493977753,0.07983540976744684
16,0.012590317259893218,0.1412492886333381
17,0.011352848701158755,0.11525174904414448
18,0.0019589035097692005,0.019571331446647636
19,0.01205077718827039,0.14619960846232333
20,0.012114860456273096,0.13966690011848304
21,0.010510596613675193,0.11019131505294182
22,0.008393273498915325,0.08702148824155097
23,0.011526235299355111,0.14046200640005765
24,0.012237444401463394,0.14151681817833345
25,0.014991095056594616,0.13961306205969362
26,0.011751301070954043,0.11413113043637817
27,0.004511134910736312,0.04223921268417573
28,0.00428167114641646,0.04283711135308757
29,0.007731999590084164,0.08514997380618199
